dataset,horizon,DAG_mse,SWAN_V3_FINAL_current_best_mse,delta_best_minus_DAG,winner_by_mse,best_from_model,best_source_file,DAG_source_file,final_params_json
ETTh2,96,0.2472690514,0.2136062723,-0.0336627791,SWAN_V3_FINAL_BEST,SWAN_V3_TUNE,E:/Project/TimeSeq/DAG/result/ETTh2/SWAN_V3_TUNE/test_report.1775553170.autodl-container-8d624e9d85-a6740c46.25412.csv,E:/Project/TimeSeq/DAG/result/ETTh2/DAG/test_report.1774687606.DESKTOP-FQEO3JL.32800.csv,"{""adaptive_alpha"": true, ""alpha"": 1, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.04, ""dropout"": 0.2, ""dynamic_sparse"": false, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 96, ""loss"": ""MAE"", ""lr"": 0.0001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 100, ""patch_len"": 24, ""patience"": 12, ""phase_weight"": 0.2, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 24, ""target_mask_density"": 0.55, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.03, ""weight_gate_sharpness"": 8.0}"
ETTh2,192,0.2812976868,0.2549232754,-0.0263744114,SWAN_V3_FINAL_BEST,SWAN_V3,E:/Project/TimeSeq/DAG/result/ETTh2/SWAN_V3/test_report.1775476814.autodl-container-98a74c9ae6-8384db31.8892.csv,E:/Project/TimeSeq/DAG/result/ETTh2/DAG/test_report.1774687675.DESKTOP-FQEO3JL.27772.csv,"{""adaptive_alpha"": true, ""alpha"": 1, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.08, ""dropout"": 0.2, ""dynamic_sparse"": true, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 192, ""loss"": ""MAE"", ""lr"": 0.0001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 50, ""patch_len"": 24, ""patience"": 5, ""phase_weight"": 0.3, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""target_mask_density"": 0.35, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.05, ""weight_gate_sharpness"": 8.0}"
ETTh2,336,0.3239410445,0.3034721278,-0.0204689166,SWAN_V3_FINAL_BEST,SWAN_V3_TUNE,E:/Project/TimeSeq/DAG/result/ETTh2/SWAN_V3_TUNE/test_report.1775554601.autodl-container-8d624e9d85-a6740c46.30624.csv,E:/Project/TimeSeq/DAG/result/ETTh2/DAG/test_report.1774687714.DESKTOP-FQEO3JL.33160.csv,"{""adaptive_alpha"": true, ""alpha"": 1, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.04, ""dropout"": 0.2, ""dynamic_sparse"": false, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 336, ""loss"": ""MAE"", ""lr"": 0.0001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 100, ""patch_len"": 24, ""patience"": 12, ""phase_weight"": 0.2, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 24, ""target_mask_density"": 0.55, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.03, ""weight_gate_sharpness"": 8.0}"
ETTh2,720,0.4514175937,0.4879047266,0.0364871329,DAG,SWAN_V3_TUNE,E:/Project/TimeSeq/DAG/result/ETTh2/SWAN_V3_TUNE/test_report.1775555181.autodl-container-8d624e9d85-a6740c46.32780.csv,E:/Project/TimeSeq/DAG/result/ETTh2/DAG/test_report.1774687752.DESKTOP-FQEO3JL.9904.csv,"{""adaptive_alpha"": true, ""alpha"": 1, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.04, ""dropout"": 0.2, ""dynamic_sparse"": false, ""e_layers"": 1, ""freq_use_phase"": true, ""horizon"": 720, ""loss"": ""MAE"", ""lr"": 0.0001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 100, ""patch_len"": 24, ""patience"": 12, ""phase_weight"": 0.2, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 24, ""target_mask_density"": 0.55, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.03, ""weight_gate_sharpness"": 8.0}"
ETTm1,96,0.0440786736,0.0420710961,-0.0020075775,SWAN_V3_FINAL_BEST,SWAN_V3,E:/Project/TimeSeq/DAG/result/ETTm1/SWAN_V3/test_report.1775477791.autodl-container-98a74c9ae6-8384db31.11447.csv,E:/Project/TimeSeq/DAG/result/ETTm1/DAG/test_report.1774688651.DESKTOP-FQEO3JL.28356.csv,"{""adaptive_alpha"": true, ""alpha"": 1, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.08, ""dropout"": 0.3, ""dynamic_sparse"": true, ""e_layers"": 3, ""freq_use_phase"": true, ""horizon"": 96, ""loss"": ""MAE"", ""lr"": 1e-05, ""lradj"": ""type3"", ""n_heads"": 16, ""norm"": true, ""num_epochs"": 50, ""patch_len"": 24, ""patience"": 5, ""phase_weight"": 0.3, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""target_mask_density"": 0.35, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.05, ""weight_gate_sharpness"": 8.0}"
ETTm1,192,0.0723788946,0.0692479719,-0.0031309228,SWAN_V3_FINAL_BEST,SWAN_V3,E:/Project/TimeSeq/DAG/result/ETTm1/SWAN_V3/test_report.1775478471.autodl-container-98a74c9ae6-8384db31.14422.csv,E:/Project/TimeSeq/DAG/result/ETTm1/DAG/test_report.1774689211.DESKTOP-FQEO3JL.1036.csv,"{""adaptive_alpha"": true, ""alpha"": 1, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.08, ""dropout"": 0.3, ""dynamic_sparse"": true, ""e_layers"": 3, ""freq_use_phase"": true, ""horizon"": 192, ""loss"": ""MAE"", ""lr"": 1e-05, ""lradj"": ""type3"", ""n_heads"": 16, ""norm"": true, ""num_epochs"": 50, ""patch_len"": 24, ""patience"": 5, ""phase_weight"": 0.3, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""target_mask_density"": 0.35, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.05, ""weight_gate_sharpness"": 8.0}"
ETTm1,336,0.1048561719,0.0914640734,-0.0133920985,SWAN_V3_FINAL_BEST,SWAN_V3,E:/Project/TimeSeq/DAG/result/ETTm1/SWAN_V3/test_report.1775479607.autodl-container-98a74c9ae6-8384db31.17553.csv,E:/Project/TimeSeq/DAG/result/ETTm1/DAG/test_report.1774689961.DESKTOP-FQEO3JL.2908.csv,"{""adaptive_alpha"": true, ""alpha"": 1, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.08, ""dropout"": 0.3, ""dynamic_sparse"": true, ""e_layers"": 3, ""freq_use_phase"": true, ""horizon"": 336, ""loss"": ""MAE"", ""lr"": 1e-05, ""lradj"": ""type3"", ""n_heads"": 16, ""norm"": true, ""num_epochs"": 50, ""patch_len"": 24, ""patience"": 5, ""phase_weight"": 0.3, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""target_mask_density"": 0.35, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.05, ""weight_gate_sharpness"": 8.0}"
ETTm1,720,0.1489703721,0.1277507773,-0.0212195949,SWAN_V3_FINAL_BEST,SWAN_V3_TUNE,E:/Project/TimeSeq/DAG/result/ETTm1/SWAN_V3_TUNE/test_report.1775551052.autodl-container-8d624e9d85-a6740c46.14705.csv,E:/Project/TimeSeq/DAG/result/ETTm1/DAG/test_report.1774690341.DESKTOP-FQEO3JL.34012.csv,"{""adaptive_alpha"": true, ""alpha"": 1, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.06, ""dropout"": 0.3, ""dynamic_sparse"": true, ""e_layers"": 3, ""freq_use_phase"": true, ""horizon"": 720, ""loss"": ""MAE"", ""lr"": 1e-05, ""lradj"": ""type3"", ""n_heads"": 16, ""norm"": true, ""num_epochs"": 100, ""patch_len"": 24, ""patience"": 12, ""phase_weight"": 0.45, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 24, ""target_mask_density"": 0.4, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.04, ""weight_gate_sharpness"": 8.0}"
ETTm2,96,0.1071901677,0.1090030044,0.0018128366,DAG,SWAN_V3,E:/Project/TimeSeq/DAG/result/ETTm2/SWAN_V3/test_report.1775480482.autodl-container-98a74c9ae6-8384db31.22434.csv,E:/Project/TimeSeq/DAG/result/ETTm2/DAG/test_report.1774690518.DESKTOP-FQEO3JL.2688.csv,"{""adaptive_alpha"": true, ""alpha"": 1, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.08, ""dropout"": 0.2, ""dynamic_sparse"": true, ""e_layers"": 2, ""freq_use_phase"": true, ""horizon"": 96, ""loss"": ""MAE"", ""lr"": 0.001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 50, ""patch_len"": 24, ""patience"": 5, ""phase_weight"": 0.3, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""target_mask_density"": 0.35, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.05, ""weight_gate_sharpness"": 8.0}"
ETTm2,192,0.1683240992,0.1681194662,-0.0002046331,SWAN_V3_FINAL_BEST,SWAN_V3,E:/Project/TimeSeq/DAG/result/ETTm2/SWAN_V3/test_report.1775481087.autodl-container-98a74c9ae6-8384db31.23932.csv,E:/Project/TimeSeq/DAG/result/ETTm2/DAG/test_report.1774690744.DESKTOP-FQEO3JL.33332.csv,"{""adaptive_alpha"": true, ""alpha"": 1, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.08, ""dropout"": 0.2, ""dynamic_sparse"": true, ""e_layers"": 2, ""freq_use_phase"": true, ""horizon"": 192, ""loss"": ""MAE"", ""lr"": 0.001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 50, ""patch_len"": 24, ""patience"": 5, ""phase_weight"": 0.3, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""target_mask_density"": 0.35, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.05, ""weight_gate_sharpness"": 8.0}"
ETTm2,336,0.2493701694,0.2416555101,-0.0077146593,SWAN_V3_FINAL_BEST,SWAN_V3_TUNE,E:/Project/TimeSeq/DAG/result/ETTm2/SWAN_V3_TUNE/test_report.1775555085.autodl-container-8d624e9d85-a6740c46.31461.csv,E:/Project/TimeSeq/DAG/result/ETTm2/DAG/test_report.1774691014.DESKTOP-FQEO3JL.13076.csv,"{""adaptive_alpha"": true, ""alpha"": 1, ""alpha_hidden"": 16, ""batch_size"": 64, ""d_ff"": 512, ""d_model"": 256, ""density_lambda"": 0.04, ""dropout"": 0.2, ""dynamic_sparse"": false, ""e_layers"": 2, ""freq_use_phase"": true, ""horizon"": 336, ""loss"": ""MAE"", ""lr"": 0.001, ""lradj"": ""type3"", ""n_heads"": 4, ""norm"": true, ""num_epochs"": 100, ""patch_len"": 24, ""patience"": 12, ""phase_weight"": 0.2, ""seq_len"": 96, ""sparse_beta_max"": 1.0, ""sparse_beta_min"": 0.2, ""sparse_plateau_patience"": 100, ""sparse_step_down"": 0.02, ""sparse_step_up"": 0.05, ""sparse_warmup_steps"": 500, ""stride"": 24, ""target_mask_density"": 0.55, ""use_c"": 1, ""use_c_exog"": 1, ""use_t"": 1, ""use_t_exog"": 1, ""weight_gate_floor"": 0.03, ""weight_gate_sharpness"": 8.0}"
